Cartera de préstamos hipotecarios al día 31.10.2008
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01/07/2005 a 31/12/2005,253 1,36,40.901.500,74 1,27
01/01/2006 a 30/06/2006,281 1,51,47.236.936,68 1,47
01/07/2006 a 31/12/2006,2.692 14,45,522.660.504,19 16,28
01/01/2007 a 30/06/2007,4.663 25,02,883.384.526,16 27,51
01/07/2007 a 31/12/2007,5.394 28,95,902.543.142,30 28,10
01/01/2008 a 30/06/2008,4.767 25,58,730.809.736,32 22,76
01/07/2008 a 31/12/2008,388 2,08,59.782.197,99 1,86
Total,18.634 100,00,3.211.342.754,53 100,00
,15,72 Meses
98,79 Meses
2,63 Meses,Antigüedad media ponderada
Antigüedad máxima
Antigüedad mínima
