Órganos de Gobierno
Más de 3% de los recursos propios de BANCAJA
Comité de Riesgos de Dirección General
Hasta el 3% de los recursos propios de BANCAJA
Área de Negocio
Hasta 9.000.000 €
Unidad de Negocio
Hasta 3.000.000 €
Oficinas
Red Exterior* Red Tradicional**
Hasta 1.800.000 € Banca comercial Banca Especializada
Hasta 1.800.000 € Hasta 3.000.000 €
