,Bonos Serie A,,
Vida media (años),10,57,8,44,6,95
TIR,4,393%,4,392%,4,391%
Duración (años),7,53,6,33,5,42
Vencimiento final,23 07 2035,23 07 2031,24 04 2028
(en años),26,63,22,63,19,38
