FECHA,EURIBOR,SERIE A1,SERIE A2,SERIE B,SERIE C,SERIE D,SERIE E
14/12/2005,2,463%,2,503%,2,573%,2,733%,2,963%,4,463%,4,463%
13/01/2006,2,507%,2,547%,2,617%,2,777%,3,007%,4,507%,4,507%
14/02/2006,2,596%,2,636%,2,706%,2,866%,3,096%,4,596%,4,596%
14/03/2006,2,704%,2,744%,2,814%,2,974%,3,204%,4,704%,4,704%
13/04/2006,2,765%,2,805%,2,875%,3,035%,3,265%,4,765%,4,765%
12/05/2006,2,885%,2,925%,2,995%,3,155%,3,385%,4,885%,4,885%
14/06/2006,2,961%,3,001%,3,071%,3,231%,3,461%,4,961%,4,961%
14/07/2006,3,092%,3,132%,3,202%,3,362%,3,592%,5,092%,5,092%
14/08/2006,3,219%,3,259%,3,329%,3,489%,3,719%,5,219%,5,219%
12/09/2006,3,315%,3,355%,3,425%,3,585%,3,815%,5,315%,5,315%
