,TACP 25%,,,,,
,SERIE A1,SERIE A2,SERIE B,SERIE C,SERIE D,SERIE E
FECHA DE
PAGO,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL,PRINCIPAL INTERESES TOTAL
16/03/2007
16/06/2007
16/09/2007
16/12/2007
16/03/2008
16/06/2008
16/09/2008
16/12/2008
16/03/2009
16/06/2009
16/09/2009
16/12/2009
16/03/2010
16/06/2010
16/09/2010
16/12/2010
16/03/2011
16/06/2011
16/09/2011
16/12/2011
16/03/2012
16/06/2012
16/09/2012
16/12/2012
16/03/2013
16/06/2013
16/09/2013
16/12/2013
16/03/2014
16/06/2014
16/09/2014,48.943,77 1.435,19 50.378,96
26.546,95 437,75 26.984,70
24.509,29 210,14 24.719,42,0,00 1.469,42 1.469,42
0,00 877,83 877,83
37,43 877,83 915,26
8.006,79 867,97 8.874,76
7.552,95 798,44 8.351,39
6.940,96 740,92 7.681,87
6.435,18 679,99 7.115,17
5.965,94 616,72 6.582,66
5.150,16 558,71 5.708,87
4.429,55 525,92 4.955,46
4.105,88 487,03 4.592,92
3.805,66 446,09 4.251,74
3.527,18 408,50 3.935,68
3.268,88 386,62 3.655,50
3.029,32 357,92 3.387,24
2.807,15 327,73 3.134,87
2.601,10 300,02 2.901,12
2.410,03 283,86 2.693,89
2.232,85 262,70 2.495,55
2.068,56 240,46 2.309,02
1.916,23 222,49 2.138,73
1.775,00 208,12 1.983,12
1.644,06 192,54 1.836,59
1.522,67 176,17 1.698,84
1.409,98 161,16 1.571,13
1.305,69 152,36 1.458,05
1.208,67 140,90 1.349,57
1.119,12 128,87 1.247,99
1.036,12 117,85 1.153,97
959,21 111,37 1.070,58
11.727,69 102,95 11.830,64,0,00 1.529,31 1.529,31
0,00 913,61 913,61
0,00 913,61 913,61
0,00 903,68 903,68
0,00 903,68 903,68
0,00 913,61 913,61
0,00 913,61 913,61
0,00 903,68 903,68
3.878,02 893,75 4.771,77
7.106,87 878,18 7.985,05
6.587,58 813,25 7.400,83
6.105,88 744,88 6.850,77
5.659,08 682,12 6.341,21
5.244,67 645,58 5.890,25
4.860,31 597,67 5.457,98
4.503,85 547,25 5.051,10
4.173,27 500,98 4.674,25
3.866,71 473,99 4.340,70
3.582,44 438,66 4.021,10
3.318,85 401,52 3.720,37
3.074,45 371,53 3.445,97
2.847,85 347,52 3.195,37
2.637,77 321,50 2.959,27
2.443,01 294,17 2.737,18
2.262,20 269,10 2.531,30
2.094,88 254,41 2.349,30
1.939,22 235,28 2.174,49
1.795,54 215,19 2.010,73
1.662,38 196,78 1.859,16
1.538,97 185,97 1.724,94
18.816,18 171,91 18.988,09,0,00 1.623,42 1.623,42
0,00 969,83 969,83
0,00 969,83 969,83
0,00 959,29 959,29
0,00 959,29 959,29
0,00 969,83 969,83
0,00 969,83 969,83
0,00 959,29 959,29
3.878,02 948,75 4.826,77
7.106,87 932,22 8.039,10
6.587,58 863,30 7.450,88
6.105,88 790,72 6.896,60
5.659,08 724,10 6.383,19
5.244,67 685,31 5.929,98
4.860,31 634,44 5.494,76
4.503,85 580,92 5.084,77
4.173,27 531,81 4.705,08
3.866,71 503,15 4.369,87
3.582,44 465,65 4.048,09
3.318,85 426,23 3.745,08
3.074,45 394,39 3.468,84
2.847,85 368,91 3.216,75
2.637,77 341,29 2.979,05
2.443,01 312,27 2.755,28
2.262,20 285,66 2.547,86
2.094,88 270,07 2.364,95
1.939,22 249,75 2.188,97
1.795,54 228,44 2.023,98
1.662,38 208,89 1.871,27
1.538,97 197,41 1.736,39
18.816,18 182,49 18.998,67,0,00 2.273,64 2.273,64
0,00 1.358,28 1.358,28
0,00 1.358,28 1.358,28
0,00 1.343,51 1.343,51
0,00 1.343,51 1.343,51
0,00 1.358,28 1.358,28
0,00 1.358,28 1.358,28
0,00 1.343,51 1.343,51
3.878,02 1.328,75 5.206,77
7.106,87 1.305,60 8.412,48
6.587,58 1.209,07 7.796,65
6.105,88 1.107,43 7.213,31
5.659,08 1.014,12 6.673,21
5.244,67 959,79 6.204,47
4.860,31 888,56 5.748,87
4.503,85 813,60 5.317,45
4.173,27 744,81 4.918,09
3.866,71 704,68 4.571,39
3.582,44 652,16 4.234,60
3.318,85 596,94 3.915,79
3.074,45 552,35 3.626,80
2.847,85 516,66 3.364,51
2.637,77 477,98 3.115,75
2.443,01 437,35 2.880,35
2.262,20 400,08 2.662,28
2.094,88 378,24 2.473,12
1.939,22 349,79 2.289,00
1.795,54 319,93 2.115,47
1.662,38 292,56 1.954,94
1.538,97 276,48 1.815,45
18.816,18 255,58 19.071,76,0,00 2.701,42 2.701,42
0,00 1.613,83 1.613,83
0,00 1.613,83 1.613,83
0,00 1.596,29 1.596,29
0,00 1.596,29 1.596,29
0,00 1.613,83 1.613,83
0,00 1.613,83 1.613,83
0,00 1.596,29 1.596,29
0,00 1.578,75 1.578,75
0,00 1.613,83 1.613,83
17.572,47 1.613,83 19.186,31
6.105,88 1.315,78 7.421,67
5.659,08 1.204,93 6.864,01
5.244,67 1.140,38 6.385,05
4.860,31 1.055,74 5.916,05
4.503,85 966,68 5.470,53
4.173,27 884,95 5.058,22
3.866,71 837,26 4.703,98
3.582,44 774,86 4.357,30
3.318,85 709,25 4.028,10
3.074,45 656,27 3.730,72
1.674,36 613,87 2.288,23
0,00 586,85 586,85
0,00 580,47 580,47
0,00 574,09 574,09
0,00 586,85 586,85
0,00 586,85 586,85
0,00 580,47 580,47
0,00 574,09 574,09
0,00 586,85 586,85
36.363,64 586,85 36.950,48
TOTAL,102.083,08
100.000,00 € 2.083,08 € €,113.229,44
100.000,00 € 13.229,44 € €,122.188,51
100.000,00 € 18.375,97 € €,119.506,80
100.000,00 € 19.506,80 € €,127.319,80
100.000,00 € 27.319,80 € €,134.155,38
100.000,00 € 34.155,38 € €
