,Largo plazo,,,Corto plazo
,,,,
nóisrevni
ed
odarG,AAA,,,
,AA +,,,
,AA,,,A–1+
,AA-,,,
,A +,,,
,A,,,A–1
,A-,,,
,BBB +,,,A-2
,BBB,,,A-3
,BBB-,,,
pse luce vita,BB +,,,
