RETRASOS EN EL PAGO DE LAS CUOTAS
DE LOS PRESTAMOS ASOCIADOS CON HIPOTECA DE SEGUNDO RANGO
SALDOS VIVOS NUMERO DE % NUMERO
INTERVALO (MILES) % SALDOS VIVOS PRESTAMOS PRESTAMOS
0 - 0 29.433,45 94,24 629 93,88
1 - 30 1.444,36 4,62 32 4,77
31 - 60 354,23 1,13 9 1,34
TOTALES: 31.232.044,28 100 670 100
