0.30%
Serie D 22.900.000,00 € Euribor 3M +
0.55%
Serie E 10.200.000,00 € Euribor 3M +
2.10%
Total 1.360.200.000,00 €,,,,,,,,,,,,,,,,,,,,,,
,,,,TOTAL,,,23.321.964.994,17,,,,,,,,,,,,,,,
,,,,FTA,,,€,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TOTAL (FTH+FTA),TOTAL (FTH+FTA),,,,,,25.561.196.438,52,,,,,,,,,,,,,,,
,,,,,,,€,,,,,,,,,,,,,,,
