,Finalidad,,Financiación construcción de 1ª ó 2ª vivienda
Importe Máximo de la Financiación,,,Hasta 70% de valor de tasación a obra terminada para 1ª
ó 2ª viviendas, respectivamente
,Plazos Máximos,,Fase de obra: 2 años, Fase de amortización: 30 años
,Limitación a la 1ª disposición,,40% del valor del suelo
