Assets of the Fund,,,Liability of the Fund,
,,,,
Assets,370,000.0,,Bonds,370,000.0
Formation Expenses,909.8,,Sub.loan GC,1,540.1
Inter. Deferral,43.3,,Security IO,4,038.0
Reserve Fund,4,625.0,,,
,,,,
Total Assets,375,578.1,,Total Liabilities,375,578.1
