,Date,,,Action,
D,,,Registration of this Prospectus with the CNMV,,
D+1,,,The Formation Deed is executed and the Contracts referred to
herein are formally signed; the spreads applying to each Bond
Tranche are determined; The Nominal Interest Rates applying
to each Bond Tranche are set for the first Interest Accrual
Period,,
D+2,,,The announcement of the formation of the Fund and the
Securities issue is published; The Subscription Period opens
and closes,,
D+3,,,The Securities are paid in. The Price for subscribing to the,,
