,Amount Underwritten,
Underwriting Entity,,
,(euros),
,,
,Tranche A,Tranche B
CAJA GENERAL DE AHORROS DE GRANADA,10,000,000,6,000,000
CONFEDERACIÓN ESPAÑOLA DE CAJAS DE AHORROS,156,100,000,10,900,000
AHORRO CORPORACIÓN FINANCIERA, S.V., S.A.,166,100,000,10,900,000
DEXIA CAPITAL MARKETS,5,000,000,0
HSBC BANK PLC,5,000,000,0
Total,342,200,000,27,800,000
