% TAA:,5%,,,12,5%,,15%
,Bonos Serie B,,,,,
Vida media (años),19,82,,12,81,,,11,07
TIR,2,524%,,2,524%,,,2,524%
Duración (años),15,31,,10,73,,,9,46
Fecha de Liquidación,28/07/2025,,26/07/2018,,,26/10/2016
Anticipada del Fondo,,,,,,
