% TAA:,5%,,,12,5%,,15%
,Bonos Serie A,,,,,
Vida media (años),8,65,,5,10,,,4,42
TIR,2,307%,,2,307%,,,2,307%
Duración (años),7,36,,4,58,,,4,01
Fecha de Liquidación,28/07/2025,,26/07/2018,,,26/10/2016
Anticipada del Fondo,,,,,,
