Cartera de préstamos hipotecarios al día 23.10.2006
Clasificación por índice de referencia del tipo de interés,,,
Índice de referencia,Préstamos
%,Principal pendiente
(euros) %,%Margen *
s/índice
EURIBOR/MIBOR a 1 año,10.432 100,00,984.460.321,84 100,00,0,81
Total 10.432 100,00 984.460.321,84 100,00 0,81,,,
*Margen medio ponderado por el principal pendiente.,,,
