Recursos Propios,,,31/03/2009**
,31/12/2007*,31/12/2008*,
(miles de euros),,,
,,,
Capital,903,00,903,00,903,00
Reservas,,,
Reserva Legal,180,60,180,60,180,60
Otras Reservas,3.142,06,4.215,00,4.215,00
Pérdidas y Ganancias,,,
Beneficio ejercicio,2.979,14,3.972,00,873,60
TOTAL,7.204,80,9.270,60,6.172,20
