,,,Euros,
Gastos de Constitución,,,,
Tasas CNMV (emisión/admisión),,48,033.00,,
Tasas AIAF,,52.200,00,,
Tasas SOCIEDAD DE SISTEMAS,,2.900,00,,
Entidad de Calificación, Sociedad Gestora, asesores
legales y auditores, gastos notariales,
publicaciones y otros,,1.058.560,00,,
Subtotal,,,1.161.693,00,
Gastos de Emisión y Colocación,,,,
Comisión de Dirección,,210,000.00,,
Comisión de Aseguramiento y Colocación,,2,100,000.00,,
Subtotal,,2,310,000.00,,
TTOOTTAALL,,3.471.693,00,,
