,Moody’s,
Corto Plazo,Corto Plazo,
Prime-1 (P-1),,
Prime-2 (P-2),,
Prime-3 (P-3),,
No Prime
(NP),,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
