,,limitada a largo plazo.
Caa,CCC,Baja calidad. Estas emisiones pueden
haber incumplido los pagos ya o pueden
contener elementos de peligro con respecto
al cobro de capital e intereses.
Ca,CC,Altamente especulativos. Estas emisiones
han incumplido pagos frecuentemente o
tienen otras marcadas deficiencias
C,C,La posibilidad de que estas emisiones
alcancen alguna vez valor de inversión, es
remota.
,DDD,DD,D,Valores especulativos. Su valor puede no
exceder del valor de reembolso en caso de
liquidación o reorganización del sector
