% TAA:,5%,,,12,5%,,18%
,Bonos Serie A2,,,,,
Vida media (años),8,00,,8,00,,,8,00
TIR,2,883%,,2,883%,,,2,883%
Duración (años),6,96,,6,96,,,6,96
Fecha de Liquidación Anticipada,28/01/2027,,29/04/2019,,,-
del Fondo al 10%,,,,,,
Fecha a partir de la cual se podrá,28/04/2016,,28/04/2016,,,28/04/2016
ejercitar la Liquidación,,,,,,
Anticipada del Fondo,,,,,,
