CAIXABANK RMBS 2, FT,,,,
,,1% TAA,3% TAA,5% TAA
Serie A,Vida media (años)
TIR
Duración (años)
Amortización Final,9,73
0,17%
9,87
17/04/2037,7,52
0,17%
7,70
17/07/2033,6,14
0,17%
6,33
17/01/2031
Serie B,Vida media (años)
TIR
Duración (años)
Amortización Final,20,06
0,33%
19,68
17/07/2037,16,30
0,33%
16,13
17/10/2033,13,82
0,33%
13,76
17/04/2031
Fecha de Liquidación Anticipada del Fondo,,17/07/2037,17/10/2033,17/04/2031
Años desde Fecha Constitución,,20,62,16,81,14,28
