% TAA:,10%,,,13%,,,16%
,Bonos Serie C,,,,,,
Vida media (años),11,28,,9,33,,,7,82,
TIR,6,715%,,6,714%,,,6,714%,
Duración (años),7,35,,6,44,,,5,67,
Fecha de Liquidación Anticipada,27-jun-24,,27-sep-21,,,27-jun-19,
del Fondo al 10%,,,,,,,
