% TAA:,10%,,,13%,,,16%
,Bonos Serie D,,,,,,
Vida media (años),12,35,,10,21,,,8,55,
TIR,8,589%,,8,589%,,,8,589%,
Duración (años),6,94,,6,19,,,5,52,
Fecha de Liquidación Anticipada,27-jun-24,,27-sep-21,,,27-jun-19,
del Fondo al 10%,,,,,,,
