% TAA:,10%,,,13%,,,16%
,Bonos Serie A,,,,,,
Vida media (años),6,65,,5,42,,,4,53,
TIR,5,285%,,5,284%,,,5,284%,
Duración (años),4,95,,4,20,,,3,62,
Fecha de Liquidación Anticipada,27-jun-24,,27-sep-21,,,27-jun-19,
del Fondo al 10%,,,,,,,
