% TAA:,10%,,,13%,,,16%
,Bonos Serie B,,,,,,
Vida media (años),11,28,,9,33,,,7,82,
TIR,5,496%,,5,496%,,,5,496%,
Duración (años),7,89,,6,85,,,5,98,
Fecha de Liquidación Anticipada,27-jun-24,,27-sep-21,,,27-jun-19,
del Fondo al 10%,,,,,,,
