FONCAIXA FTGENCAT 6, FTA,,,,
,,4% TAA,6% TAA,8% TAA
Serie AS,Vida media (años)
TIR
Duración (años)
Amortización Final,2,57
5,13%
2,52
17/09/2013,2,31
5,13%
2,26
17/12/2012,2,12
5,13%
2,08
17/06/2012
Serie AG,Vida media (años)
TIR
Duración (años)
Amortización Final,9,16
5,34%
9,11
17/12/2020,7,66
5,34%
7,60
17/12/2018,6,61
5,34%
6,54
17/06/2017
Clase B,Vida media (años)
TIR
Duración (años)
Amortización Final,8,52
6,23%
8,27
17/12/2020,7,20
6,23%
6,99
17/12/2018,6,17
6,23%
5,99
17/06/2017
Clase C,Vida media (años)
TIR
Duración (años)
Amortización Final,8,52
6,74%
8,19
17/12/2020,7,22
6,74%
6,93
17/12/2018,6,17
6,74%
5,94
17/06/2017
Clase D,Vida media (años)
TIR
Duración (años)
Amortización Final,9,29
9,07%
7,41
17/12/2020,7,86
9,07%
6,42
17/12/2018,6,78
9,07%
5,67
17/06/2017
Fecha de Liquidación Anticipada del Fondo,,17/12/2020,17/12/2018,17/06/2017
Años desde Fecha Constitución,,12,62,10,59,9,07
