,,,,31/12/2007,,,31/12/2006,,,31/12/2005,
Capital,,,1.502.500,00,,,1.502.500,00,,,1.502.500,00,,
Reservas,,,300.500,00,,,300.500,00,,,300.500,00,,
Beneficios,,,1.749.634,30,,,1.587.943,10,,,1.400.992,26,,
Dividendo a Cuenta,,,-1.598.363,82,,,0,,,-1.239.103,29,,
Fondos propios,,,1.954.270,48,,,3.390.943,10,,,1.964.888,97,,
