Cartera de Operaciones a día 1 de junio de 2008,,,,,,,,
Clasificación Geográfica por Provincia,,,,,,,,
Provincia,,Operaciones,,,,Principal Pendiente,,
,,Número,,%,,Importe,,%
BARCELONA
TARRAGONA
LLEIDA
GIRONA,,9.233 55,84%
3.080 18,63%
2.182 13,20%
2.040 12,34%,,,582.801.818,74 62,62%
147.885.476,02 15,89%
109.825.724,51 11,80%
90.199.186,20 9,69%,,,
Total Cartera,,16.535,,100,00%,,930.712.205,47,,100,00%
