,Presidente:,,D. Fernando Cánovas Atienza
Consejeros:,Consejeros:,,D. Ernest Gil Sánchez
D. Santiago Armada Martínez-Campos
D. Xavier Jaumandreu Patxot
D. Josep Ramón Montserrat Miró
Dña. María del Carmen Gimeno Olmos
D. Jordi Soldevila Gasset
,Secretario (no consejero):,,D. Félix López Antón
,Vicesecretario (no consejero):,,D. Roser Vilaró Viles
