Serie AS,436.300.000 euros,AAA,0,35%
Serie AG*,291.200.000 euros,AAA,0,37%
Clase B,15.000.000 euros,A,1,25%
Clase C,7.500.000 euros,BBB,1,75%
Clase D,18.800.000 euros,CCC-,4,00%
