Distribución por Originador
Número % sobre total Saldo % Saldo Saldo Vivo Tipo de interés Vida residual años Antigüedad años Plazo Total años
Entidad Originadora Saldo Inicial
Préstamos préstamos Vivo Vivo Medio Medio ponder. Media ponder. Media ponder media ponder

Caixa Galicia 6.135 79,58% 751.923.641,37 76,58% 122.562,94 0,78% 25,10 6,85 930.835.747,14 31,95
NCG Banco, S.A. 652 8,46% 94.153.289,60 9,59% 144.406,89 1,19% 27,18 4,31 107.033.889,38 31,50
NovaCaixaGalicia 922 11,96% 135.767.667,25 13,83% 147.253,44 0,90% 26,28 5,07 161.784.652,76 31,36

Totales 7.709 100% 981.844.598,22 100% 127.363,42 0,84% 25,46 6,36 1.199.654.289,28 31,82
