Distribución por Tipo Sistema de Amortización
Tipo Sistema de Número % sobre total Saldo % Saldo Saldo Vivo Tipo de interés Vida residual años Antigüedad años Plazo Total años
Saldo Inicial
Amortización Préstamos préstamos Vivo Vivo Medio Medio ponder. Media ponder. Media ponder media ponder

Progresión Geométrica 7.550 97,94% 961.905.355,28 97,97% 127.404,68 0,84% 25,52 6,35 1.173.933.982,31 31,88
Francés 159 2,06% 19.939.242,94 2,03% 125.404,04 0,66% 22,48 6,77 25.720.306,97 29,25

Totales 7.709 100% 981.844.598,22 100% 127.363,42 0,84% 25,46 6,36 1.199.654.289,28 31,82
