DATOS A NIVEL CONSOLIDADO Abanca
Corporación Bancaria,31/12/2015,31/12/2014
ROA
ROE (después Impuestos),0,66%
8,17%,1,13%
37,66%
Nº OFICINAS,679,672
Nº EMPLEADOS,4.562,4.712
