,Euros
Gastos de Constitución,
Tasas CNMV,60.000,00
Tasas AIAF,66.550,00
Tasas SOCIEDAD DE SISTEMAS,605,00
Dotación para Gastos Iniciales (Agencia de Rating,
Comisión Inicial de la Sociedad Gestora, asesores legales y
auditores, gastos notariales, publicaciones y otros),413.535,50
TOTAL,540.690,50
