ABANCA CORPORACION FINANCIERA SA,,
Cuenta de Pérdidas y Ganancias,dic-14,dic-15
Epígrafes,TOTAL,TOTAL
1.Intereses y rendimientos asimilados
2.Intereses y cargas asimiladas
3.Remuneración de capital reembolsable a la vista (solo Cooperativas d
A)MARGEN DE INTERESES
4.Rendimiento de instrumento de capital
6.Comisiones percibidas
7.Comisiones pagadas
8.Resultado de operaciones financieras (neto)
8.1.Cartera de negociación
8.2.Otros instrumentos financieros a valor razonable con cambios en pé
8.3.Instrumentos financieros no valorados a valor razonable con cambio
8.4. Otros
9.Diferencias de cambio (neto)
10.Otros productos de explotación
11.Otras cargas de explotación
B)MARGEN BRUTO
12.Gastos de administración
12.1.Gastos de personal
12.2.Otros gastos generales de administración
13.Amortización
14.Dotaciones a provisiones (neto)
15.Pérdidas por deterioro de activos financieros(neto)
15.1.Inversiones crediticias
15.2.Otros instrumentos financieros no valorados a valor razonable con
C)RESULTADO DE LAS ACTIVIDADES DE EXPLOTACIÓN
16.Pérdidas por deterioro del resto de activos (neto)
16.1.Fondo de comercio y otro activo intangible
16.2.Otros activos
17.Ganancias (pérdidas) en la baja de activos no clasificados como no
18.Diferencia negativa en combinaciones de negocios
19.Ganancias (pérdidas) de activos no corrientes en venta no clasifica
D)RESULTADO ANTES DE IMPUESTOS
20.Impuesto sobre beneficios
21.Dotación obligatoria a obras y fondos sociales (sólo Cajas de Ahorr
E)RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS
22.Resultado de operaciones interrumpidas (neto)
F)RESULTADO DEL EJERCICIO,1.113.674,802.367
,555.844,416.406
,,
,557.830,385.961
,2.244,52.628
,159.791,145.366
,18.931,16.253
,422.948,320.245
,209,-3
,,
,422.947,320.835
,-208,-587
,4.988,9.953
,158.280,50.399
,103.987,80.832
,1.183.163,867.467
,447.000,490.966
,274.462,288.649
,172.538,202.317
,36.452,30.506
,25.074,4.809
,47.914,294.495
,47.914,284.231
,,10.264
,626.723,46.691
,-111.692,-293.924
,,185
,-111.692,-294.109
,13.367,93.113
,,
,74,15.250
,751.856,448.978
,-446.807,130.156
,,
,1.198.663,318.822
,,
,1.198.663,318.822
