"ruta_relativa";"n_palabras";"legible";"idioma"
"corpus/ES0312343_FTH AYT Genova Hipotecario 7\No_OCR_ES0312343_FTH AYT Genova Hipotecario 7_completo.txt";54901;TRUE;"castellano"
"corpus/ES0312343_FTH AYT Genova Hipotecario 7_ingles\No_OCR_ES0312343_FTH AYT Genova Hipotecario 7_ingles_completo.txt";51429;TRUE;"inglés"
"corpus/ES0312344_FTH AYT Genova Hipotecario VIII\No_OCR_ES0312344_FTH AYT Genova Hipotecario VIII_completo.txt";60181;TRUE;"castellano"
"corpus/ES0312349_FTH AYT Genova Hipotecario 6\No_OCR_ES0312349_FTH AYT Genova Hipotecario 6_completo.txt";67592;TRUE;"castellano"
"corpus/ES0312349_FTH AYT Genova Hipotecario 6_ingles\No_OCR_ES0312349_FTH AYT Genova Hipotecario 6_ingles_completo.txt";64046;TRUE;"inglés"
"corpus/ES0312364005_Resumen AyTHipotecarioBBK I\No_OCR_ES0312364005_Resumen AyTHipotecarioBBK I_completo.txt";2980;TRUE;"castellano"
"corpus/ES0312364_FTA AYT Hipotecario BBK1\No_OCR_ES0312364_FTA AYT Hipotecario BBK1_completo.txt";54363;TRUE;"castellano"
"corpus/ES0312378_FTA AYT Hipotecario Mixto 3\No_OCR_ES0312378_FTA AYT Hipotecario Mixto 3_completo.txt";63691;TRUE;"castellano"
"corpus/ES0312378_FTA AYT Hipotecario Mixto 3_ingles\No_OCR_ES0312378_FTA AYT Hipotecario Mixto 3_ingles_completo.txt";62649;TRUE;"inglés"
"corpus/ES0312847_FTA Bancaja 13\No_OCR_ES0312847_FTA Bancaja 13_completo.txt";75269;TRUE;"castellano"
"corpus/ES0312867_FTA Bancaja 11\No_OCR_ES0312867_FTA Bancaja 11_completo.txt";86655;TRUE;"castellano"
"corpus/ES0312872015\No_OCR_ES0312872015_completo.txt";87196;TRUE;"castellano"
"corpus/ES0312872_FTA Bancaja 10\No_OCR_ES0312872_FTA Bancaja 10_completo.txt";87196;TRUE;"castellano"
"corpus/ES0312887_FTA Bancaja 8\No_OCR_ES0312887_FTA Bancaja 8_completo.txt";103897;TRUE;"castellano"
"corpus/ES0312887_FTA Bancaja 8_ingles\No_OCR_ES0312887_FTA Bancaja 8_ingles_completo.txt";101647;TRUE;"inglés"
"corpus/ES0312888_FTA Bancaja 9\No_OCR_ES0312888_FTA Bancaja 9_completo.txt";83850;TRUE;"castellano"
"corpus/ES0313199004_FTA BBVA RMBS 9\No_OCR_ES0313199004_FTA BBVA RMBS 9_completo.txt";67306;TRUE;"castellano"
"corpus/ES0313199_FTA BBVA RMBS 9\No_OCR_ES0313199_FTA BBVA RMBS 9_completo.txt";67306;TRUE;"castellano"
"corpus/ES0313252_FTA Caixa Penedés TDA 1\No_OCR_ES0313252_FTA Caixa Penedés TDA 1_completo.txt";71701;TRUE;"castellano"
"corpus/ES0313270_FTA Bankinter 13\No_OCR_ES0313270_FTA Bankinter 13_completo.txt";80703;TRUE;"castellano"
"corpus/ES0313529_FTA Bankinter 10\No_OCR_ES0313529_FTA Bankinter 10_completo.txt";106019;TRUE;"castellano"
"corpus/ES0313714_FTA Bankinter 11\No_OCR_ES0313714_FTA Bankinter 11_completo.txt";78715;TRUE;"castellano"
"corpus/ES0313814016\No_OCR_ES0313814016_completo.txt";130212;TRUE;"castellano"
"corpus/ES0313814_FTA Bankinter 9\No_OCR_ES0313814_FTA Bankinter 9_completo.txt";130212;TRUE;"castellano"
"corpus/ES0314147_FTA BBVA RMBS 1\No_OCR_ES0314147_FTA BBVA RMBS 1_completo.txt";75983;TRUE;"castellano"
"corpus/ES0314148_FTA BBVA RMBS 2\No_OCR_ES0314148_FTA BBVA RMBS 2_completo.txt";80871;TRUE;"castellano"
"corpus/ES0314149_FTA BBVA RMBS 3\No_OCR_ES0314149_FTA BBVA RMBS 3_completo.txt";77938;TRUE;"castellano"
"corpus/ES0314209_FTA BBVA Leasing 1\No_OCR_ES0314209_FTA BBVA Leasing 1_completo.txt";74487;TRUE;"castellano"
