,Bonos Serie B,,,,
Vida media (años),19,06,15,71,13,16,11,20,9,68
TIR,5,753%,5,753%,5,753%,5,753%,5,753%
Duración (años),10,88,9,67,8,61,7,71,6,94
Vencimiento final,20 12 2034,20 03 2031,20 12 2027,20 03 2025,20 12 2022
(en años),26,58,22,82,19,57,16,82,14,57
