,,,,,31.12.2008,,31.12.2007,,(A)/(B),
,,,,,,,,,,
,BALANCE (millones de euros),,,,,,,,,
,,,,4.278,,4.236,,1,010,,
,,,,,3.620,,3.633,,0,996,
,,,,,3.471,,3.484,,0,996,
,,,,,230,,310,,0,742,
,,,,,3.701,,3.794,,0,975,
,,,,,366,,340,,1,076,
,,,,393,,375,,1,048,,
,,,,,,,,,,
CUENTA DE RESULTADOS (millones de euros),,,,,,,,,,
,,,,,106,,106,,1,000,
,,,,,127,,125,,1,016,
,,,,,123,,123,,1,000,
,,,,,49,,49,,1,000,
,,,,,35,,38,,0,921,
,,,,,35,,38,,0,921,
,,,,,,,,,,
,RATIOS RELEVANTES (%),,,,,,,,,
,,,,,1,14,,1,22,,,
,,,,,9,11,,10,57,,,
,,,,,0,82,,0,94,,,
,,,,1,05,,1,17,,,,
,,,,,54,56,,54,80,,,
,,,,,60,40,,60,15,,,
,,,,,2,20,,0,77,,,
,,,,1,44,,0,64,,,,
,,,,,1,44,,0,64,,,
,,,,,109,03,,279,10,,,
,,,,,,,,,,
,RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,,,
,,,,,10,80,,9,51,,,
,,,,,1,71,,1,80,,,
,,,,,12,51,,11,31,,,
,,,,,,,,,,
,INFORMACIÓN ADICIONAL,,,,,,,,,
,,,,,1.156.122,,1.153.586,,,
,,,,,93.530,,91.576,,,
,,,,,836,,838,,,
,,,,,201,,194,,,
