,,,,31.12.2008,31.12.2008,31.12.2007,31.12.2007,(A)/(B)
,,,,,,,,
BALANCE (millones de euros),BALANCE (millones de euros),,,,,,,
,,,,2.806,,2.570,,1,092
,,,,,2.806,,2.570,
,,,,2.427,,2.187,,1,110
,,,,,2.427,,2.187,
,,,,1.954,,1.852,,1,055
,,,,,1.954,,1.852,
,,,,224,,315,,0,711
,,,,,224,,315,
,,,,3.030,,2.885,,1,050
,,,,,3.030,,2.885,
,,,,196,,181,,1,083
,,,,,196,,181,
,,,,196,,181,,1,083
,,,,,196,,181,
,,,,,,,,
,,,,,,,,
CUENTA DE RESULTADOS (millones de euros),CUENTA DE RESULTADOS (millones de euros),,,,,,,
,,,,,,,,
,,,,46,,42,,1,095
,,,,,46,,42,
,,,,60,,55,,1,091
,,,,,60,,55,
,,,,61,,56,,1,089
,,,,,61,,56,
,,,,21,,19,,1,105
,,,,,21,,19,
,,,,10,,13,,0,769
,,,,,10,,13,
,,,,9,,12,,0,750
,,,,,9,,12,
,,,,,,,,
,,,,,,,,
RATIOS RELEVANTES (%),RATIOS RELEVANTES (%),,,,,,,
,,,,,,,,
,,,,0,82,,0,86,,
,,,,,0,82,,0,86,
,,,,4,79,,7,44,,
,,,,,4,79,,7,44,
,,,,0,34,,0,53,,
,,,,,0,34,,0,53,
,,,,0,42,,0,61,,
,,,,57,80,,58,59,,
,,,,,57,80,,58,59,
,,,,64,65,,65,22,,
,,,,,64,65,,65,22,
,,,,1,52,,0,57,,
,,,,,1,52,,0,57,
,,,,1,20,,0,35,,
,,,,,1,20,,0,35,
,,,,132,62,,316,83,,
,,,,,132,62,,316,83,
,,,,,,,,
,,,,,,,,
RATIOS DE CAPITAL (NORMATIVA BIS) (%),RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,
,,,,,,,,
,,,,8,69,,9,09,,
,,,,,8,69,,9,09,
,,,,10,36,,10,49,,
,,,,,10,36,,10,49,
,,,,10,36,,10,49,,
,,,,,10,36,,10,49,
,,,,,,,,
,,,,,,,,
INFORMACIÓN ADICIONAL,INFORMACIÓN ADICIONAL,,,,,,,
,,,,,,,,
,,,,1,,1,,
,,,,,1,,1,
,,,,40.324,,37.964,,
,,,,,40.324,,37.964,
,,,,467,,466,,
,,,,,467,,466,
,,,,164,,161,,
,,,,,164,,161,
