Cartera de préstamos hipotecarios al día 28.09.2009
Clasificación por el tipo de interés nominal aplicable,,,,,,
Intervalo % Tipo Interés,Préstamos hipotecarios
%,,Principal pendiente
(euros) %,,%Tipo*
interés,
6,50 - 6,74,309 2,53,,23.496.402,70 2,08,,6,54,
6,75 - 6,99,137 1,12,,9.632.760,13 0,85,,6,81,
7,00 - 7,24,30 0,25,,2.400.672,52 0,21,,7,06,
7,25 - 7,49,13 0,11,,767.828,53 0,07,,7,34,
Total 12.207 100,00 1.129.542.377,90 100,00,,,,,,
Media ponderada: 3,50 %
Media simple: 3,56 %
Mínimo: 1,74 %
Máximo: 7,39 %
*Tipo de interés nominal medio del intervalo ponderado por el principal pendiente.,Media ponderada:,,,,3,50,%
,Media simple:,,,,3,56,%
,Mínimo:,,,,1,74,%
,Máximo:,,,,7,39,%
