,Garantía Personal,Garantía Hipotecaria
Consejo Rector,Sin límite,Sin límite
Comité de Operaciones,600.000 €,1.500.000 €
Analistas Dpto. Admisión,150.000 €,450.000 €
Oficinas Nivel I,36.000 €,150.000 €
Oficinas Nivel II,24.000 €,120.000 €
Oficinas Nivel III,12.000 €,60.000 €
