,,,,31.12.2008,31.12.2008,31.12.2007,31.12.2007,(A)/(B)
,,,,,,,,
BALANCE (millones de euros),BALANCE (millones de euros),,,,,,,
,,,,28,,27,,1,037
,,,,,28,,27,
,,,,21,,19,,1,105
,,,,,21,,19,
,,,,3,,3,,1,000
,,,,,3,,3,
,,,,3,,3,,1,000
,,,,,3,,3,
,,,,,,,,
,,,,,,,,
CUENTA DE RESULTADOS (millones de euros),CUENTA DE RESULTADOS (millones de euros),,,,,,,
,,,,,,,,
,,,,0,75,,0,83,,0,904
,,,,,0,75,,0,83,
,,,,0,85,,0,93,,0,914
,,,,,0,85,,0,93,
,,,,0,79,,0,95,,0,832
,,,,,0,79,,0,95,
,,,,0,19,,0,37,,0,514
,,,,,0,19,,0,37,
,,,,0,15,,0,30,,0,500
,,,,,0,15,,0,30,
,,,,0,12,,0,23,,0,522
,,,,,0,12,,0,23,
,,,,,,,,
,,,,,,,,
RATIOS RELEVANTES (%),RATIOS RELEVANTES (%),,,,,,,
,,,,,,,,
,,,,0,693,,1,340,,
,,,,,0,693,,1,340,
,,,,4,56,,5,63,,
,,,,,4,56,,5,63,
,,,,0,433,,0,806,,
,,,,,0,433,,0,806,
,,,,0,76,,1,10,,
,,,,71,92,,55,24,,
,,,,,71,92,,55,24,
,,,,75,98,,58,39,,
,,,,,75,98,,58,39,
,,,,0,87,,1,29,,
,,,,,0,87,,1,29,
,,,,0,55,,0,10,,
,,,,,0,55,,0,10,
,,,,211,83,,164,54,,
,,,,,211,83,,164,54,
,,,,,,,,
,,,,,,,,
RATIOS DE CAPITAL (NORMATIVA BIS) (%),RATIOS DE CAPITAL (NORMATIVA BIS) (%),,,,,,,
,,,,,,,,
,,,,14,92,,10,90,,
,,,,,14,92,,10,90,
,,,,1,77,,2,12,,
,,,,,1,77,,2,12,
,,,,16,69,,13,02,,
,,,,,16,69,,13,02,
,,,,,,,,
,,,,,,,,
INFORMACIÓN ADICIONAL,INFORMACIÓN ADICIONAL,,,,,,,
,,,,,,,,
,,,,121.522,,121.041,,
,,,,,121.522,,121.041,
,,,,882,,883,,
,,,,,882,,883,
,,,,7,,7,,
,,,,,7,,7,
,,,,1,,1,,
,,,,,1,,1,
