Cartera de préstamos hipotecarios al día 28.09.2009
Clasificación por fecha formalización del préstamo,,
Intervalo de fechas,Préstamos hipotecarios
%,Principal pendiente
(euros) %
01/01/2006 a 30/06/2006,1.048 8,59,98.323.411,63 8,70
01/07/2006 a 31/12/2006,1.133 9,28,122.222.390,32 10,82
01/01/2007 a 30/06/2007,1.078 8,83,115.390.410,92 10,22
01/07/2007 a 31/12/2007,912 7,47,97.958.829,36 8,67
01/01/2008 a 30/06/2008,1.237 10,13,140.251.008,98 12,42
01/07/2008 a 31/12/2008,1.687 13,82,183.551.935,86 16,25
01/01/2009 a 30/06/2009,773 6,33,75.983.828,71 6,73
Total 12.207 100,00 1.129.542.377,90 100,00,,
34,84 Meses Antigüedad media ponderada
191,80 Meses Antigüedad máxima
5,95 Meses Antigüedad mínima,,
