Cartera de préstamos hipotecarios al día 23.01.2007
Clasificación por Deudor,,
,Préstamos
hipotecarios
%,Principal pendiente
(euros) %
Deudor 1,1 0,0058,543.557,47 0,0193
Deudor 2,1 0,00582,535.511,72 0,019001
Deudor 3,0,00582
1,0,018186
531.358,96
Deudor 4,0,00582
1,0,018678
527.573,39
Deudor 5,0,00582
1,0,018334
517.659,72
Deudor 6,0,00582
1,0,018802
508.800,87
Deudor 7,0,00582
1,0,017697
506.675,51
Deudor 8,0,00582
1,0,017982
503.021,52
Deudor 9,0,00582
1,0,017682
501.910,52
Deudor 10,0,00582
1,0,017272
498.713,23
Resto: 17.174 deudores,99,9412
17.174,2.811.008.582,70 99,81069
81 25
Total deudores: 17.184 17.184 100,00 2.816.183.365,61 100,00,,
