,,,,,
IM CAJAMAR 4, FTA,,,,,
,,,,,
,Tipo de Interés,ESCENARIO,10% TAA,12% TAA,15% TAA
,,,,,
,,Vida media (años)
TIR,6,44
3,486%,5,64
3,486%,
,,Vida media (años)
TIR,10,69
3,548%,9,39
3,548%,
,,Vida media (años)
TIR,10,69
3,892%,9,39
3,892%,
,,Vida media (años)
TIR,10,69
5,339%,9,39
5,339%,
,,Vida media (años)
TIR,11,64
7,303%,10,28
7,303%,
,,,22/06/2022,22/09/2020,
