,Bonos Serie B,,,,
Vida media (años),9,73,8,64,7,75,7,00,6,35
TIR,3,149%,3,149%,3,149%,3,149%,3,149%
Duración (años),8,06,7,28,6,62,6,05,5,55
Vencimiento final,26 06 2020,26 12 2018,26 09 2017,26 09 2016,28 09 2015
(en años),14,23,12,73,11,48,10,48,9,48
