,DENOMINACIÓN DE LA SOCIEDAD ACCIONISTA,,,PARTICIPACIÓN %,
AHORRO CORPORACIÓN, S.A.,,,50,,
CONFEDERACIÓN ESPAÑOLA DE CAJAS DE AHORROS,,,50,,
Total,,,100,,
