DELINQUENCY STATUS
Range Amount Loans
(days) (thousands of euro) % Nr. %
0 – 29 789,961.55 94.83 8,025 94.91
30 – 59 38,693.09 4.64 386 4.56
60 – 70 4,365.51 0.52 44 0.52
Totals: 833,020,160.14 100.00 8,455 100.00
