TYPE OF PRODUCT,%,AVERAGE
ORIGINATION DATE,AVERAGE
MATURITY DATE
“Cuota Fácil”,21%,29/07/2003,05/04/2032
“Cambio de Casa”,16%,12/09/2002,30/08/2031
“Tipo Fijo 3 años”,35%,09/08/2003,06/10/2032
“Cambio de Casa Tipo
Fijo 3 años”,2%,11/08/2003,25/03/2032
“Internet”,2%,28/10/2003,10/10/2028
“Resto de productos”,24%,29/11/2002,27/11/2029
