Average life,23.36,17.45,16.10,12.71,11.01,9.61,7.93,6.17 4.92
IRR,2.57,2.57,2.57,2.57,2.57,2.57,2.57,2.57 2.57
Duration,19.04,13.90,13.00,10.63,9.39,8.33,7.24,5.57 4.52
Final maturity,27.43,23.68,22.34,18.67,16.42,14.67,12.09,9.67 7.59
CLASS C,,,,,,,,
Average life,23.36,17.28,15.94,12.58,11.02,9.51,7.91,6.11 4.87
IRR,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08 3.08
Duration,18.95,13.74,12.84,10.50,9.35,8.22,7.19,5.50 4.46
Final maturity,27.43,23.68,22.34,18.67,16.42,14.67,12.09,9.67 7.59
