Rate Amount Loans
(thousands of
(euro) euro) % Nr, %
789.15 - 29,999.99 43,366.39 92.84 3,169 97.08
30,000.00 - 49,433.31 3,340.94 7.15 95 2.91
Totals: 46,707,347.75 100.00 3,264 100.00
