% CPR,0,4,5,8,10,12,15,20,25
CLASS A,,,,,,,,,
Average life,16.28,10.93,9.97,7.73,6.63,5.79,4.75,3.71 2.97,
IRR,2.33,2.33,2.33,2.33,2.33,2.33,2.33,2.33 2.33,
Duration,13.69,9.00,8.30,6.63,5.78,5.12,4.40,3.40 2.76,
Final maturity,27.43,23.68,22.34,18.67,16.42,14.67,12.09,9.67 7.59,
