,Largo plazo
nóisrevni
ed
odarG,AAA
,AA +
,AA
,AA-
,A +
,A
,A-
,BBB +
,BBB
,BBB-
ovitalucepse
odarG,BB +
,BB
,BB-
,B +
,B
,B-
,CCC +
,CCC
,CCC-
,CC
,C
,D
