FONDOS DE TITULIZACION HIPOTECARIA
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO TIPO POR SERIES AGENCIA DE CONSTITUCION ACTIVOS
FTH HIPOTEBANSA VI Serie A 36.810.106,47 € Libor 3M + 0,12% SC&APL EIFsIpCaAñCaI O/ MNoody´s 27/10/1997 262.942.795,67 €
Serie B 3.681.011,13 € Libor 3M + 0,50% E ñ
Total 40.491.117,60 €
FTH HIPOTEBANSA VII Serie A 65.485.883,55 € Libor 3M + 0,15% S&P España / Moody´s 05/05/1998 317.334.391,12 €
Serie B 6.548.588,07 € Libor 3M + 0,525% E ñ
Total 72.034.471,62 €
FTH UCI 4 Serie A 29.012.885,90 € Libor 3M + 0,16% S&P España 25/06/1998 180.303.631,32 €
Serie B 2.901.288,16 € Libor 3M + 0,575%
Total 31.914.174,06 €
FTH HIPOTEBANSA VIII Serie A 81.189.388,80 € Libor 3M + 0,27% Fitch IBCA / Moody´s 17/12/1998 328.302.862,02 €
Serie B 8.118.939,85 € Libor 3M + 0,800% E ñ
Total 89.308.328,65 €
FTH UCI 5 Serie A 76.220.416,56 € Euribor 3M + 0,23% Moody´s España 03/06/1999 265.000.000,00 €
Serie B 7.622.041,85 € Euribor 3M + 0,625%
Total 83.842.458,41 €
FTH BANESTO 1 Serie A 57.802.201,60 € Euribor 3M + 0,23% Moody´s España 29/07/1999 759.000.000,00 €
Serie B 4.624.177,20 € Euribor 3M + 0,625%
Total 62.426.378,80 €
FTH HIPOTEBANSA IX Serie A 145.083.972,36 € Euribor 3M + 0,27% Fitch IBCA / Moody´s 10/11/1999 519.200.000,00 €
Serie B 11.606.718,48 € Euribor 3M + 0,75% E ñ
Total 156.690.690,84 €
FTH BANESTO 2 Serie A 205.002.450,00 € Euribor 3M + 0,27% Moody´s España 08/05/2000 715.000.000,00 €
Serie B 14.350.172,50 € Euribor 3M + 0,625%
Total 219.352.622,50 €
FTH BANESTO 3 Serie A 215.569.520,48 € Euribor 3M + 0,23% Moody´s España 16/07/2001
545.000.000,00 €
Serie B 17.700.000,00 € Euribor 3M + 0,60%
Total 233.269.520,48 €
FTH BANESTO 4 Serie A 933.998.692,50 € Euribor 3M + 0,20% S&P España 15/11/2003 1.500.001.867,69 €
Serie B 45.000.000,00 € Euribor 3M + 0,65%
Total 978.998.692,50 €
FTH UCI 10 Serie A 394.055.613,00 € Euribor 3M + 0,16% S&P España 14/05/2004 700.000.000,00 €
Serie B 21.000.000,00 € Euribor 3M + 0,50%
415.055.613,00 €
TOTAL FTH 2.459.600.931,53
