SERIE D,,,,,
VIDA MEDIA ESTIMADA,18,28,16,03,14,28,12,78,11,53
DURACIÓN ESTIMADA,13,00,11,83,10,85,9,96,9,18
VENCIMIENTO ESTIMADO,18/10/2024,18/07/2022,18/10/2020,18/04/2019,18/01/2018
TIR,3,6725%,3,6725%,3,6725%,3,6725%,3,6725%
