Escenario,,5% TAA,10% TAA,15% TAA
Serie A1,Vida media (años)
TIR
Duración,5,55
5,496%
4,16,4,04
5,496%
3,22,3,11
5,497%
2,58
Serie A2 (CA),Vida media (años)
TIR
Duración,5,55
5,496%
4,16,4,04
5,496%
3,22,3,11
5,497%
2,58
Serie B,Vida media (años)
TIR
Duración,11,50
5,865%
7,82,8,38
5,865%
6,19,6,55
5,865%
5,10
Serie C,Vida media (años)
TIR
Duración,11,50
6,980%
7,33,8,38
6,980%
5,87,6,55
6,981%
4,88
Fecha de liquidación
anticipada del Fondo (10%),,26-may-25,25-feb-21,25-may-18
