FONDOS DE TITULIZACION HIPOTECARIA
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTH HIPOTEBANSA VI Serie A 34.144.301,64 € Libor 3M + 0.12% S&P España / Moody´s España 27/10/1997 262.942.795,67 €
Serie B 3.414.430,05 € Libor 3M + 0.50%
Total 37.558.731,69 €
FTH HIPOTEBANSA VII Serie A 57.978.269,85 € Libor 3M + 0.15% S&P España / Moody´s España 05/05/1998 317.334.391,12 €
Serie B 5.797.826,82 € Libor 3M + 0.525%
Total 63.776.096,67 €
FTH UCI 4 Serie A 27.331.248,30 € Libor 3M + 0.16% S&P España 25/06/1998 180.303.631,32 €
Serie B 2.733.125,36 € Libor 3M + 0.575%
Total 30.064.373,66 €
FTH HIPOTEBANSA VIII Serie A 68.001.045,44 € Libor 3M + 0.27% Fitch IBCA / Moody´s España 17/12/1998 328.302.862,02 €
Serie B 6.800.105,18 € Libor 3M + 0.800%
Total 74.801.150,62 €
FTH UCI 5 Serie A 54.699.713,20 € Euribor 3M + 0.23% Moody´s España 03/06/1999 265.000.000,00 €
Serie B 4.375.976,40 € Euribor 3M + 0.625%
Total 59.075.689,60 €
FTH BANESTO 1 Serie A 135.610.451,60 € Euribor 3M + 0.23% Moody´s España 29/07/1999 759.000.000,00 €
Serie B 10.848.836,60 € Euribor 3M + 0.625%
Total 146.459.288,20 €
FTH HIPOTEBANSA IX Serie A 142.525.306,32 € Euribor 3M + 0.27% Fitch IBCA / Moody´s España 10/11/1999 519.200.000,00 €
Serie B 14.000.000,00 € Euribor 3M + 0.75%
Total 156.525.306,32 €
FTH BANESTO 2 Serie A 193.588.884,00 € Euribor 3M + 0.27% Moody´s España 08/05/2000 715.000.000,00 €
Serie B 13.551.220,00 € Euribor 3M + 0.625%
Total 207.140.104,00 €
FTH BANESTO 3 Serie A 185.364.563,69 € Euribor 3M + 0.23% Moody´s España 16/07/2001 545.000.000,00 €
Serie B 17.700.000,00 € Euribor 3M + 0.60%
Total 203.064.563,69 €
FTH BANESTO 4 Serie A 832.497.165,00 € Euribor 3M + 0.20% S&P España 15/11/2003 1.500.001.867,69 €
Serie B 45.000.000,00 € Euribor 3M + 0.65%
Total 877.497.165,00 €
FTH UCI 10 Serie A 340.356.558,50 € Euribor 3M + 0.16% S&P España 14/05/2004 700.000.000,00 €
Serie B 21.000.000,00 € Euribor 3M + 0.50%
383.268.974,90 €
FTH UCI 12 Serie A 611.232.391,68 Euribor 3M + 0.15% S&P España 30/05/2005 900.000.000,00 €
Serie B 9.000.000,00 Euribor 3M + 0.27%
Serie C 23.800.000,00 Euribor 3M + 0.60%
Total 644.032.391,68 €
TOTAL FTH 2.883.263.836,03 €
