FONDOS DE TITULIZACION DE ACTIVOS
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTA SANTANDER 1 Pag.Intern 4.355.697.039,70 S&P España / Moody´s España 26/11/1998
Pag. Nac. 608.600.000,00
Total 4.964.297.039,70 €
FTA UCI 6 Serie A 108.847.673,54 Euribor 3M + 0.295% Moody´s España 19/06/2000 457.000.000,00 €
Serie B 9.578.596,24 Euribor 3M + 0.775%
Total 118.426.269,78 €
FTA UCI 7 Serie A 128.960.900,10 Euribor 3M + 0.250% S&P España / Moody´s España 25/10/2001 455.000.000,00 €
Serie B 9.027.263,56 Euribor 3M + 0.700%
Total 137.988.163,66 €
FTA HIPOTEBANSA X Serie A 344.695.345,75 Euribor 3M + 0.21% S&P España / Moody´s España 04/03/2002 917.000.000,00 €
Serie B 21.000.000,00 Euribor 3M + 0.55%
Total 383.268.974,90 €
FTA FTPYME BANESTO 1 SERIE 0,00 € Euribor 3M + 0.01% Fitch IBCA / Moody´s España 11/06/2002 500.000.000,00 €
A1(G)
SERIE A1 0,00 € Euribor 3M + 0.35%
SERIE 0,00 € Euribor 3M + 0.04%
ASE2(RGIE) A2 0,00 € Euribor 3M + 0.38%
SERIE 166.700.000,00 Euribor 3M + 0.07%
SERIE A3 41.700.000,00 Euribor 3M + 0.48%
SERIE B(G) 1.654.308,00 Euribor 3M + 0.20%
SERIE B 1.654.308,00 Euribor 3M + 0.90%
SERIE C 2.205.744,00 Euribor 3M + 1.80%
Total 213.914.360,00 €
FTA UCI 8 Serie A 167.674.260,78 Euribor 3M + 0.220% S&P España / Moody´s España 24/06/2002 600.000.000,00 €
Serie B 11.066.501,16 Euribor 3M + 0.600%
Total 178.740.761,94 €
FTA HIPOTEBANSA 11 Serie A 529.297.695,12 Euribor 3M + 0.24% S&P España / Moody´s España 26/11/2002 1.062.000.000,00 €
Serie B 21.200.000,00 Euribor 3M + 0.45%
Total 550.497.695,12 €
SANTANDER CONSUMER Serie A 277.257.748,10 Euribor 3M + 0.30% Fitch / Moody´s España / S&P 09/12/2002 850.000.000,00 €
FINANCE SPAIN 02-1 FTA Serie B 17.908.244,55 Euribor 3M + 0.60%
Total 295.165.992,65 €
FTA CONSUMO SANTANDER 1 Serie A 236.642.828,40 Euribor 3M + 0.25% S&P España / Moody´s España 04/03/2003 1.080.000.000,00 €
Serie B 37.800.000,00 Euribor 3M + 0.43%
Serie C 35.100.000,00 Euribor 3M + 0.73%
Serie D 35.100.000,00 Euribor 3M + 1.40%
Total 344.642.828,40 €
