FONDOS DE TITULIZACION DE ACTIVOS
FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO TIPO POR SERIES AGENCIA DE CALIFICACION CONSTITUCION ACTIVOS
FTA SANTANDER Serie A1 797.004.762,24 Euribor 3M + 0.02% S&P España / Fitch España 27/10/2005 3.100.000.000,00 €
EMPRESAS 1 Serie A2 1.240.000.000,00 Euribor 3M + 0.12%
Serie B 80.600.000,00 Euribor 3M + 0.21%
Serie C 96.100.000,00 Euribor 3M + 0.29%
Serie D 170.500.000,00 Euribor 3M + 0.59%
Total 2.384.204.762,24 €
FTA UCI 14 Serie A 1.113.933.282,50 Euribor 3M + 0.15% S&P España / Fitch España 30/11/2005 1.350.000.000,00 €
Serie B 34.100.000,00 Euribor 3M + 0.29%
Serie C 38.400.000,00 Euribor 3M + 0.58%
Total 1.186.433.282,50 €
FTA UCI 15 Serie A 1.226.140.376,36 Euribor 3M + 0.14% S&P España / Fitch España 28/04/2006 1.430.000.010,22 €
Serie B 32.900.000,00 Euribor 3M + 0.27%
Serie C 56.500.000,00 Euribor 3M + 0.53%
Serie D 21.600.000,00 Euribor 3M + 0.58%
Total 1.337.140.376,36 €
FTA SANTANDER Serie A 1.801.500.000,00 Euribor 3M + 0.15% S&P España / Moody´s España 30/06/2006 1.955.000.000,00 €
HIPOTECARIO 2 Serie B 51.800.000,00 Euribor 3M + 0.20%
Serie C 32.300.000,00 Euribor 3M + 0.30%
Serie D 49.800.000,00 Euribor 3M + 0.55%
Serie E 19.600.000,00 Euribor 3M + 2.10%
Serie F 17.600.000,00 Euribor 3M + 1.00%
Total 1.972.600.000,00 €
FTA SANTANDER CONSUMER Serie A 1.282.500.000,00 € Euribor 3M + 0.15% S&P España / Fitch España 10/10/2006 1.350.000.000,00 €
SPAIN AUTO 06
Serie B 22.300.000,00 € Euribor 3M + 0.20%
Serie C 22.300.000,00 € Euribor 3M + 0.30%
Serie D 22.900.000,00 € Euribor 3M + 0.55%
Serie E 10.200.000,00 € Euribor 3M + 2.10%
Total 1.360.200.000,00 €
FTA UCI 16 Serie A1 430.000.000,00 Euribor 3M + 0.15% S&P España / Fitch España 18/10/2006 1.800.000.000,00 €
Serie A2 1.247.600.000,00 Euribor 3M + 0.20%
Serie B 72.000.000,00 Euribor 3M + 0.30%
Serie C 41.400.000,00 Euribor 3M + 0.55%
Serie D 9.000.000,00 Euribor 3M + 2.10%
Serie E 19.800.000,00 Euribor 3M + 1.00%
Total 1.819.800.000,00 €
TOTAL FTA 24.497.732.602,49 €
