,DATOS POR ACCIÓN,,,30/9/06,,,30/9/05,,,,
Cotización al cierre del periodo,,,16,27,,,11,76,,,38,4%,,
Beneficio por acción del periodo,,,0,74,,,0,63,,,17,1%,,
VTC por acción,,,5,33,,,4,75,,,12,0%,,
PER (*),,,17,50,,,15,71,,,-,,
Precio sobre VTC,,,3,05,,,2,47,,,-,,
