,BALANCE,,,30/9/06,,,30/9/05,,,Var.,
Activos totales,,,95.729.621,,,76.836.918,,,24,6,,
Activos ponderados por riesgo,,,61.715.571,,,52.342.589,,,17,9,,
Recursos propios,,,3.182.647,,,2.860.762,,,11,3,,
Inversión crediticia (1),,,58.207.970,,,47.239.398,,,23,2,,
Inversión crediticia (2),,,56.699.747,,,45.239.630,,,25,3,,
Recursos totales gestionados,,,81.168.255,,,67.200.706,,,20,8,,
Morosos / Riesgos (%)(1),,,0,42,,,0,49,,,-,,
Morosos / Riesgos (%) (2),,,0,43,,,0,51,,,-,,
