,RATIOS RELEVANTES,,,30/9/06,,,30/9/05,,,,
Bis Ratio,,,10,62%,,,11,68%,,,,,
Tier 1,,,6,72%,,,7,21%,,,,,
ROE (*),,,19,85%,,,19,07%,,,,,
ROA (*),,,0,74%,,,0,78%,,,,,
RORWA (*),,,1,14%,,,1,15%,,,,,
