CAIXABANK PYMES 9, FT,,,,
,,2% TAA,4% TAA,6% TAA
Serie A,Vida media (años)
TIR
Duración (años)
Amortización Final,2,31
0,68%
2,52
18/06/2023,2,11
0,68%
2,32
18/12/2022,1,95
0,68%
2,16
18/06/2022
Serie B,Vida media (años)
TIR
Duración (años)
Amortización Final,5,76
0,94%
5,85
18/12/2023,5,22
0,94%
5,34
18/06/2023,4,73
0,94%
4,87
18/12/2022
Fecha de Liquidación Anticipada del Fondo,,18/12/2023,18/06/2023,18/12/2022
Años desde Fecha Constitución,,6,16,5,65,5,14
