,Presidente:,,D. Àlex Valencia Baeza
,Vicepresidente,,D. Jesús Moreira Goicoechea
,Consejeros:,,D. Xavier Jaumandreu Patxot
Dña. María del Carmen Gimeno Olmos
D. Juan Cebrián Torallas
,,,
,Secretario (no consejero):,,D. Claudi Rossell Piedrafita
,Vicesecretaria (no consejera):,,Dña. María del Camino Montero Sainz
